stream,clients,commands,elapsed_ms,tps,command_ms,txn_ms
False,8,10,3438.4905999999996,2326.602259724078,0.34384906,3.4384905999999997
False,8,15,5009.492166666667,1596.9682622187286,0.33396614444444445,5.009492166666667
False,8,20,6921.226,1155.8645823731229,0.34606129999999996,6.921226
False,8,25,8424.704,949.5882585311009,0.33698816,8.424704
False,8,30,9871.265666666668,810.4330559164702,0.3290421888888889,9.871265666666668
False,16,1,370.01609,43241.362828302954,0.37001609,0.37001609
False,16,2,747.4013199999999,21407.508351737994,0.37370065999999996,0.7474013199999999
False,16,5,1862.3606333333335,8591.246890438459,0.3724721266666667,1.8623606333333333
False,16,10,3692.4907,4333.118564117169,0.36924906999999996,3.6924907
False,16,15,5685.351166666666,2814.250084288256,0.3790234111111111,5.685351166666666
False,16,20,7808.073833333333,2049.1609507705516,0.39040369166666666,7.808073833333333
False,16,25,9362.035666666668,1709.0300197175773,0.37448142666666673,9.362035666666669
False,16,30,11746.934,1362.057537737081,0.39156446666666667,11.746934
False,32,1,554.2135333333334,57739.47779213378,0.5542135333333335,0.5542135333333335
False,32,2,1192.6344000000001,26831.357539242534,0.5963172000000001,1.1926344000000002
False,32,5,2833.9341,11291.723403165937,0.56678682,2.8339341
False,32,10,5545.623333333333,5770.316171250963,0.5545623333333333,5.545623333333333
False,32,15,8396.872666666668,3810.942629513892,0.5597915111111113,8.396872666666669
False,32,20,11302.701000000001,2831.1816794941315,0.5651350500000001,11.302701
False,32,25,14324.63,2233.91459325651,0.5729852,14.324629999999999
False,32,30,17250.032666666666,1855.068950787301,0.5750010888888889,17.250032666666666
False,64,1,948.9638199999999,67441.98108627577,0.9489638199999999,0.9489638199999999
False,64,2,1835.9609333333335,34859.12953703372,0.9179804666666668,1.8359609333333335
False,64,5,4663.344166666667,13724.056752548646,0.9326688333333334,4.663344166666667
False,64,10,9608.775333333333,6660.5782505894085,0.9608775333333333,9.608775333333334
False,64,15,14513.69,4409.62980468785,0.9675793333333333,14.51369
False,64,20,18828.022666666668,3399.1885995180087,0.9414011333333334,18.82802266666667
False,64,25,23378.081333333335,2737.6070382964417,0.9351232533333335,23.378081333333334
False,64,30,28165.34533333333,2272.2959453387853,0.9388448444444444,28.16534533333333
True,1,1,407.28433333333334,2455.2871744800723,0.40728433333333336,0.40728433333333336
True,1,2,400.28766666666667,2498.203375405854,0.20014383333333333,0.40028766666666665
True,1,5,433.6656666666667,2305.923841484646,0.08673313333333334,0.4336656666666667
True,1,10,442.0976666666667,2261.9436278409066,0.04420976666666667,0.4420976666666667
True,1,15,458.1816666666667,2182.5404042792343,0.030545444444444445,0.45818166666666665
True,1,20,457.8243333333333,2184.243883935105,0.022891216666666665,0.4578243333333333
True,1,25,493.838,2024.9555522256287,0.01975352,0.493838
True,1,30,512.1966666666667,1952.375064265679,0.017073222222222222,0.5121966666666667
True,2,1,374.22749999999996,5344.342679252593,0.3742275,0.3742275
True,2,2,384.93683333333337,5195.6576425309595,0.1924684166666667,0.3849368333333334
True,2,5,401.10566666666665,4986.217264444864,0.08022113333333333,0.40110566666666664
True,2,10,430.00233333333335,4651.137551966772,0.04300023333333333,0.4300023333333334
True,2,15,442.81766666666664,4516.531634916704,0.029521177777777775,0.44281766666666666
True,2,20,492.13733333333334,4063.9062809026204,0.024606866666666668,0.49213733333333337
True,2,25,503.788,3969.9238568604255,0.02015152,0.503788
True,2,30,525.0976666666667,3808.815248972731,0.017503255555555555,0.5250976666666667
True,4,1,364.1991666666667,10983.001517027082,0.36419916666666674,0.36419916666666674
True,4,2,380.9354166666667,10500.467598947766,0.19046770833333335,0.3809354166666667
True,4,5,380.09833333333336,10523.592579113298,0.07601966666666667,0.38009833333333337
True,4,10,396.8921666666667,10078.304224531179,0.03968921666666667,0.3968921666666667
True,4,15,428.8809166666667,9326.598234047486,0.028592061111111112,0.42888091666666667
True,4,20,449.51008333333334,8898.576802411366,0.022475504166666667,0.44951008333333337
True,4,25,475.71883333333335,8408.328028495824,0.019028753333333336,0.47571883333333337
True,4,30,477.28808333333336,8380.682735811024,0.015909602777777778,0.47728808333333334
True,8,1,347.84942,22998.457205994477,0.34784942,0.34784942
True,8,2,350.6945866666667,22811.87193688837,0.17534729333333335,0.3506945866666667
True,8,5,358.39070999999996,22322.007174795355,0.07167814199999999,0.35839070999999995
